//VBl	건축물
//VBp	신체부위
//VHn	인간


シヤワー	샤워
//即	바로
笑い転げそうだ	웃음바다가 될 것 같다
詳しそうな人物	잘 아는 인물
顔の利く	얼굴이 알려진
改めて	한번 더
後悔させて	후회하게
難癖をつけてくるかも	트집을 잡을지
びつくりした	깜짝이야
下の名前	이름
万がーに	만에 하나
席付け	자리에 앉아
ホームルーム	수업
しりようしつ	휴게실
マズイんだけど	곤란하다
或る	어떤 
仲の良い	사이좋은 
おきましようか	해둘까
人ったわ	들어갔다
居たつけかな	있었던가
田い返してみたら	다시 생각해보니
裸一貫	알몸
クラフター	크래프터
オリフィス	올리피스
エクスキューション	엑스큐션
エリクシル	에릭실
イエロー	옐로
グモ	거미
インプ	임프
パペット	퍼핏
ミミック	미믹
化物	괴물
孕み	임신
回数	횟수
スイッチ	스위치
滑らか	매끄러운
辛すぎない	너무 맵지 않은
サバ	고등어
味噌煮込み	된장조림
月長石	월장석
使おっと	써야지
ゾル	조르
リセット	리셋
ディスペルハーブ	디스펠 허브
スティミュラント	스티뮬런트
ヴィス	비스
メイヴィス	메이비스
メスガキ	암컷 꼬맹이#M
メス	암컷
アプリケーション	애플리케이션
聞いてましたって	듣고 있었다
ウケ狙い	웃길 목적
クソが	빌어먹을
オーシャン	오션
ファイヤー	파이어
あぶなっ	위험햇
あぶな	위험해
穢つもり	더럽힐 생각
瓦礫	잔해
アラート	경보
はた迷惑	민폐
チャージャー	차저
モバイル	모바일
キャンセル	취소
ゲームに戻る	게임으로 돌아온다
もらったなんの	받은
貰ったなんの	받은
//止まれ	멈춰라
//カラー	컬러
お届けもの	배달물
マンハッタン	맨해튼
クレジット	크레딧
止まって	멈춰
とまれ	멈춰라
#やめて	그만둬
#やめろ	그만둬
マフラー	머플러
マフラ	머플러
ネックレス	목걸이
//ネック	애로사항#M
//ネック	해고
フリーズ	프리즈
男用	남성용
女用	여성용
かけられている	잠겨 있다
身体の震えが	몸의 떨림이
びくっ	움찔
ころされる	살해당한다
ボロ切れ	너덜너덜한 헝겊
オス	수컷
オカしくなって	이상해져
#オカしく	이상할
オカし	이상해
だいじょう	괜찮
だいじょうぶ	괜찮아
ドレイン	드레인
わ、私	나, 나
ひふっ	히읏
へいき	괜찮아
おててを取って	손을 잡고
膝まづいて	무릎 꿇고
我が夫	낭군#N	0
新米	풋내기
ここ数日	요 며칠
いいところに	좋을 때에	0
べテラン	베테랑
おっと	옷토
差し出した	내밀었다
今のって	지금 거
おにく	고기
むしゃり	우걱
へっくし	엣취
あれえ	어라
あれええ	어라
やるじゃない	꽤 하잖아
ヘボ	엉터리
ツルツル	매끈매끈
オッパイ	가슴	VBp
おっぱい	가슴	VBp
危険を顧みず	위험을 무릅쓰고
エピック	에픽
撫でられたら	쓰다듬으면
撫でた	쓰다듬은
恩義のありがたさ	은혜의 고마움
思い知れ	깨달아라
身体中	온몸	VBp
尻尾を振り	꼬리를 흔들며
カリマンタン	칼리만탄
ゴキゲン	기분
キゲン	기분
ドローン	드론
マーメイド	머메이드
なのてすか	인가요
アイソレーション	아이솔레이션
ズクン	두근
ミッション	미션
ツッコミ	츳코미
ターバン	터번
花瓶	꽃병
バードマン	버드맨
ヒーラー	힐러
ハイブリッド	하이브리드
イプシロン	엡실론
ファイト	파이트
エブリデイ	에브리데이
コンビニ	편의점
レバー	레버
フェラ	펠라
サイバネティック	사이버네틱
駅前	역앞
辛っ	매웟
くれんの	주는 거야
マスターキー	마스터 키
バニーガール	바니 걸
道がふさがれている	길이 막혀 있다
アンクレット	앵클렛
ノーミス	노 미스
ギンギン	불끈불끈	//ギンギンの状態でセックスしたいってことね
ぐびっ	꿀꺽
フラグメント	플래그먼트
一晩の内	하룻밤 사이
ランサー	랜서
舐めた真似	얕보는 짓
ふんっ	흐응
手作り	직접 만든
優しい味	부드러운 맛
企んで	꾸미고
虐め	이지메
雷光	뇌광
ブーストチャージャー	부스트 차저
電磁パルス	전자기 펄스
インフィニット	인피니트
リアクター	리액터
ノービス	노비스
ターボチャージャー	터보 차저
ローンチング	론칭
ウォッシャー	와셔
キズぐすり	상처약
エナジー	에너지
ディレイ	딜레이
チップ	칩
ウェイブ	웨이브
驢馬	당나귀
ノーチラス	노틸러스
ラピッド	래피드
シダクション	시덕션
デコイ	디코이
プラズマ	플라즈마
レイド	레이드
スタン	스턴
オーバーロード	오버로드
がれき	잔해
手の込んだ	공을 들인
ペテン	사기꾼
店仕舞い	폐업할
そうら	그래
そうらん	소란
命中率	명중률
小ぎれいに	깔끔하게
テーブルクロス	식탁보
//ダメージ	대미지
ネガティブ	네거티브
内腿	안쪽 허벅지	VBp
アバター	아바타
ミニチュア	미니어처
レコード盤	레코드판
薄緑	연두색
老け込ん	늙어 버려
教信者	교신자
煮え立つ	끓어오르다
長石	장석
卵の殻	계란껍데기
パラメーター	파라미터
ローパー	로퍼
受付の嬢ちゃん	접수처의 아가씨
チャプター	챕터
スリング	슬링
スクール水着	학교 수영복
ブルマ	부르마
シナジー	시너지
貴様	네놈
初体験	첫 경험
蛮族	야만족
聞き流しながら	흘려들으며
見ての通り	보다시피
すぐ近く	아주 가까이	0
突然	갑자기 
よっと	읏차
次の瞬間	다음 순간
顔面	얼굴	VBp
